LAMMPS data from timestep 0

8181  atoms
6  atom types
2106 bonds
2 bond types

0 100 xlo xhi
0 100 ylo yhi
0 100 zlo zhi

Masses

            1   40.07800000             # Ca
2   35.45000000             # Cl
3   1.00800000              # H
4   15.99900000             # O
5   35.45000000             # Cl
6   15.99900000             # O

Atoms

1 1 1 2 17.452 26.277 26.1
2 2 1 2 7.668 32.114 27.045
3 3 1 2 9.495 30.807 37.152
4 304 1 2 12.486 10.129 32.459
5 305 1 2 13.637 17.592 23.383
6 306 1 2 7.243 24.12 20.769
7 607 1 2 12.313 17.771 38.409
8 608 1 2 26.209 1.658 28.138
9 609 1 2 1.805 11.149 12.963
10 910 1 2 3.874 33.827 19.166
11 911 1 2 2.034 4.538 19.793
12 912 1 2 23.377 21.483 18.94
13 1213 1 2 35.061 16.88 6.354
14 1214 1 2 9.43 14.749 3.071
15 1215 1 2 1.686 7.362 3.124
16 1516 1 2 37.424 21.889 15.347
17 1517 1 2 37.961 28.432 30.587
18 1518 1 2 26.543 31.963 5.071
19 1819 1 2 14.459 25.915 1.5
20 1820 1 2 12.609 6.913 11.996
21 1821 1 2 17.473 4.928 28.697
22 2122 1 2 2.658 35.789 9.501
23 2123 1 2 22.611 9.263 3.384
24 2124 1 2 35.415 2.568 7.172
25 2425 1 2 24.819 2.222 18.754
26 2426 1 2 2.835 37.799 1.319
27 2427 1 2 27.896 16.648 12.929
28 2728 1 2 19.733 31.578 16.494
29 2729 1 2 35.751 28.288 2.146
30 2730 1 2 15.609 36.094 11.277
31 3031 1 2 29.149 10.072 1.766
32 3032 1 2 34.703 3.206 38.242
33 3033 1 2 14.4 35.008 29.796
34 3334 1 2 1.312 15.154 21.23
35 3335 1 2 34.899 11.275 26.049
36 3336 1 2 36.919 6.416 31.5
37 3637 1 2 20.419 14.242 10.785
38 3638 1 2 18.52 16.085 0.93
39 3639 1 2 23.698 2.334 1.814
40 3940 1 2 28.592 37.928 35.841
41 3941 1 2 10.33 34.687 16.355
42 3942 1 2 15.141 -0.176 35.213
43 4243 1 2 11.819 7.879 21.569
44 4244 1 2 22.786 5.093 14.0
45 4245 1 2 4.251 30.956 1.004
46 4546 1 2 14.718 18.895 17.253
47 4547 1 2 5.494 18.556 27.762
48 4548 1 2 30.149 30.22 27.031
49 4849 1 2 36.159 30.874 20.264
50 4850 1 2 11.67 11.741 15.723
51 4851 1 2 2.83 23.484 34.773
52 5152 1 2 32.11 29.126 37.446
53 5153 1 2 5.587 8.368 27.459
54 5154 1 2 31.742 2.25 16.262
55 5455 1 2 29.462 9.984 30.654
56 5456 1 2 17.276 13.215 15.539
57 5457 1 2 34.047 14.013 14.607
58 5758 1 2 23.441 33.828 32.321
59 5759 1 2 30.803 13.175 21.599
60 5760 1 2 0.677 36.801 29.948
61 6061 1 2 11.623 24.947 8.941
62 6062 1 2 1.805 13.752 35.095
63 6063 1 2 30.56 38.209 10.641
64 6364 1 2 3.529 20.758 2.749
65 6365 1 2 21.865 12.663 20.764
66 6366 1 2 22.65 11.38 32.487
67 6667 1 2 2.359 24.949 7.281
68 6668 1 2 29.752 20.071 20.337
69 6669 1 2 30.721 17.543 35.406
70 6970 1 2 20.83 34.871 4.286
71 6971 1 2 11.895 35.071 2.093
72 6972 1 2 26.499 20.293 1.502
73 7273 1 2 26.789 28.259 16.458
74 7274 1 2 11.413 0.581 18.882
75 7275 1 2 33.394 2.322 26.221
76 7576 1 2 29.321 22.448 31.402
77 7577 1 2 12.738 23.611 31.985
78 7578 1 2 34.667 32.507 10.998
79 7879 1 2 20.907 26.966 0.028
80 7880 1 2 4.288 21.234 12.249
81 7881 1 2 20.64 23.805 8.118
82 4 2 7 -0.039 17.703 28.093
83 5 2 7 8.605 11.532 24.921
84 6 2 7 15.137 31.192 2.527
85 7 2 7 18.855 36.292 17.589
86 8 2 7 19.604 35.276 8.476
87 9 2 7 10.103 36.034 27.803
88 307 2 7 19.224 18.229 12.936
89 308 2 7 10.231 11.841 36.633
90 309 2 7 14.102 15.198 19.65
91 310 2 7 23.681 22.111 26.25
92 311 2 7 30.93 37.051 16.796
93 312 2 7 30.676 14.228 -0.306
94 610 2 7 28.55 3.329 11.393
95 611 2 7 4.076 10.675 32.155
96 612 2 7 28.855 12.042 12.881
97 613 2 7 25.777 37.48 9.269
98 614 2 7 11.634 21.887 17.733
99 615 2 7 33.825 30.385 30.874
100 913 2 7 8.118 33.048 38.786
101 914 2 7 38.159 14.145 3.844
102 915 2 7 19.108 31.042 33.434
103 916 2 7 17.195 24.802 37.492
104 917 2 7 13.333 21.618 2.686
105 918 2 7 31.568 24.455 25.353
106 1216 2 7 9.788 17.903 27.011
107 1217 2 7 24.403 15.65 33.975
108 1218 2 7 15.617 11.463 23.739
109 1219 2 7 36.947 24.134 10.167
110 1220 2 7 12.632 16.812 13.962
111 1221 2 7 2.692 34.493 24.363
112 1519 2 7 13.898 0.966 14.64
113 1520 2 7 22.153 26.951 2.47
114 1521 2 7 5.887 18.886 37.803
115 1522 2 7 23.99 37.958 31.379
116 1523 2 7 3.293 4.142 31.754
117 1524 2 7 4.33 11.153 2.157
118 1822 2 7 24.951 24.047 30.791
